,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,study_name,player_id
56,40,0,0,0,0,60,100,60,100,80,40,100,120,80,40,80,124,0,60,0,beerGameOULnoSg,q1d2z6ab
57,40,80,40,0,0,0,80,80,80,100,100,100,200,40,300,200,160,0,20,0,beerGameOULnoSg,0auyyaft
58,0,0,0,0,0,100,200,200,200,50,50,50,100,100,0,0,0,0,0,0,beerGameOULnoSg,1i7n46v8
59,50,10,20,45,50,50,60,80,50,50,70,50,40,30,25,20,60,80,100,50,beerGameOULnoSg,pwz10qc3
60,45,20,0,15,23,80,120,70,120,90,40,100,100,40,50,40,20,10,10,40,beerGameOULnoSg,eyhz28iz
61,0,0,72,40,40,104,50,30,45,100,44,102,19,75,45,119,64,122,137,132,beerGameOULnoSg,ztsxpjur
62,40,0,0,0,0,150,40,30,100,100,100,300,50,0,300,200,100,200,0,0,beerGameOULnoSg,p8otvg9n
63,40,0,0,0,40,64,0,0,40,100,100,0,0,0,0,0,200,0,100,50,beerGameOULnoSg,0tanrp3l
64,40,0,32,30,40,50,100,60,200,40,100,80,50,50,50,70,20,30,30,50,beerGameOULnoSg,1vipmggl
65,50,0,0,0,0,150,50,20,30,85,40,0,80,30,0,75,50,50,75,75,beerGameOULnoSg,b7hpniiw
66,80,0,0,100,40,50,100,80,150,80,50,70,100,120,90,110,75,110,50,85,beerGameOULnoSg,tug1j37z
67,40,0,32,40,40,104,190,100,50,150,150,55,127,55,43,0,0,0,0,0,beerGameOULnoSg,ixvl75tc
68,0,0,0,0,0,125,170,70,70,70,50,120,150,150,0,0,0,0,0,0,beerGameOULnoSg,rdswgmbr
