,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,study_name,player_id
55,160,160,200,208,168,128,24,0,100,60,0,36,124,0,112,167,174,231,249,258,beerGameOULnoSg,fi23cgq2
56,160,160,200,208,168,128,24,0,60,100,0,0,118,42,47,100,142,126,128,216,beerGameOULnoSg,q1d2z6ab
57,160,160,200,208,248,248,144,53,0,80,51,0,52,39,31,159,139,321,447,509,beerGameOULnoSg,0auyyaft
58,160,160,200,168,128,88,0,0,100,100,0,0,160,0,324,499,517,435,366,300,beerGameOULnoSg,1i7n46v8
59,160,160,200,218,188,168,109,68,38,24,60,59,17,79,98,80,38,25,20,60,beerGameOULnoSg,pwz10qc3
60,160,160,200,213,193,153,64,23,80,17,0,90,70,7,258,261,281,362,320,268,beerGameOULnoSg,eyhz28iz
61,160,160,200,168,128,160,96,45,48,14,44,102,0,113,45,79,47,122,53,79,beerGameOULnoSg,ztsxpjur
62,160,160,200,208,168,128,24,0,150,10,0,116,39,23,75,17,201,176,281,476,beerGameOULnoSg,p8otvg9n
63,160,160,200,208,168,128,24,40,64,0,0,40,54,0,19,103,0,24,0,155,beerGameOULnoSg,0tanrp3l
64,160,160,200,208,168,160,86,40,50,8,37,62,61,17,207,78,230,261,249,188,beerGameOULnoSg,1vipmggl
65,160,160,200,218,178,138,34,0,150,0,0,100,60,29,24,83,7,32,75,50,beerGameOULnoSg,b7hpniiw
66,160,160,200,248,208,168,164,103,48,98,38,55,45,69,193,172,248,259,301,335,beerGameOULnoSg,tug1j37z
67,160,160,200,208,168,160,96,45,48,7,45,108,0,174,287,396,427,444,362,281,beerGameOULnoSg,ixvl75tc
68,160,160,200,168,128,88,0,0,125,75,0,28,132,0,270,217,176,276,252,231,beerGameOULnoSg,rdswgmbr
