,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,study_name
54,60,140,224,288,332,348,435,557,732,844,964,1131,1287,1430,1557,1689,1775,1831,1871,1939,beerGameOULnoSg
55,60,140,224,308,372,384,451,573,688,800,920,1091,1223,1359,1422,1433,1497,1571,1655,1743,beerGameOULnoSg
56,60,140,224,308,372,384,451,573,728,840,960,1147,1301,1437,1529,1603,1617,1649,1673,1741,beerGameOULnoSg
57,60,140,224,308,412,484,510,512,607,711,852,1008,1197,1402,1579,1651,1664,1808,1991,2205,beerGameOULnoSg
58,60,140,224,288,332,348,455,617,772,844,924,1091,1183,1319,1411,1619,1837,2013,2155,2265,beerGameOULnoSg
59,60,140,224,313,387,419,428,434,489,609,757,901,1057,1198,1303,1347,1434,1578,1783,1985,beerGameOULnoSg
60,60,140,224,310,386,410,437,496,568,712,895,1075,1207,1336,1359,1449,1585,1725,1845,1939,beerGameOULnoSg
61,60,140,224,288,332,360,362,372,427,557,731,858,1004,1085,1204,1268,1367,1424,1508,1561,beerGameOULnoSg
62,60,140,224,308,372,384,451,573,638,750,870,961,1098,1216,1342,1528,1538,1582,1714,1912,beerGameOULnoSg
63,60,140,224,308,372,384,451,533,644,812,1028,1275,1473,1675,1901,2080,2261,2439,2698,2826,beerGameOULnoSg
64,60,140,224,308,372,400,405,425,488,632,817,997,1129,1285,1299,1299,1405,1495,1579,1633,beerGameOULnoSg
65,60,140,224,313,382,399,456,568,623,745,875,992,1124,1231,1397,1562,1751,1934,2123,2273,beerGameOULnoSg
66,60,140,224,328,412,444,480,504,549,585,671,767,903,1030,1034,1096,1184,1272,1382,1509,beerGameOULnoSg
67,60,140,224,308,372,400,402,412,467,604,784,911,1050,1064,1159,1342,1514,1695,1835,1935,beerGameOULnoSg
68,60,140,224,288,332,348,455,617,747,819,899,1038,1130,1266,1318,1386,1447,1544,1630,1705,beerGameOULnoSg
