,inventory,demand,backlog,shipment,order
5,120,40,0,10,40
6,80,112,32,0,60
7,0,105,137,0,180
8,40,101,198,40,100
9,60,96,234,60,100
10,101,93,226,101,100
11,8,11,229,8,0
12,90,48,187,90,60
13,69,67,185,69,200
14,97,85,173,97,40
15,115,33,91,115,40
16,200,84,0,200,40
17,113,82,0,88,0
18,78,82,4,47,80
19,40,81,45,40,100
20,0,82,127,0,80
1,160,40,0,40,40
2,160,40,0,40,40
3,160,40,0,40,93
4,160,40,0,40,500
5,160,40,0,40,60
6,213,112,0,93,200
7,187,105,0,86,200
8,126,101,0,44,40
9,159,96,0,134,200
10,113,93,0,50,200
11,222,91,0,202,0
12,815,88,0,684,0
13,927,87,0,200,0
14,840,85,0,0,0
15,755,84,0,0,0
16,671,84,0,0,0
17,587,83,0,0,0
18,504,82,0,0,0
19,422,81,0,0,0
20,341,82,0,0,0
1,160,40,0,40,40
2,160,40,0,40,0
3,160,40,0,40,0
4,160,40,0,40,1
5,120,40,0,0,0
6,80,112,32,0,40
7,1,105,136,1,120
8,0,101,237,0,120
9,40,96,293,40,100
10,120,93,266,120,100
11,58,12,220,58,200
12,0,8,228,0,8
13,178,47,97,178,47
14,0,85,182,0,97
15,215,84,51,215,1
16,124,22,0,124,25
17,177,83,0,126,0
18,115,82,0,21,0
19,58,81,23,25,120
20,0,82,105,0,20
1,160,40,0,40,40
2,160,40,0,40,40
3,160,40,0,40,20
4,160,40,0,40,20
5,160,40,0,40,40
6,140,112,0,20,20
7,48,105,57,20,48
8,40,101,118,40,40
9,20,96,194,20,20
10,48,93,239,48,48
11,40,91,290,40,40
12,20,48,318,20,20
13,48,27,297,48,48
14,40,53,310,40,40
15,20,44,334,20,44
16,48,24,310,48,24
17,40,51,321,40,40
18,44,42,319,44,42
19,24,21,316,24,21
20,40,50,326,40,50
1,160,40,0,40,40
2,160,40,0,40,40
3,160,40,0,40,40
4,160,40,0,40,160
5,160,40,0,40,40
6,160,112,0,40,40
7,187,105,0,139,40
8,126,101,0,44,80
9,68,96,28,43,40
10,54,93,67,54,40
11,80,91,78,80,0
12,40,88,126,40,0
13,40,87,173,40,0
14,0,85,258,0,0
15,0,84,342,0,90
16,0,84,426,0,90
17,0,43,469,0,0
18,90,2,381,90,90
19,90,1,292,90,0
20,0,2,294,0,90
1,160,40,0,40,100
2,160,40,0,40,100
3,160,40,0,40,160
4,220,40,0,100,100
5,280,40,0,100,80
6,254,112,0,14,60
7,295,105,0,153,60
