,inventory,demand,backlog,shipment,order
18,435,82,0,0,0
19,366,81,0,13,0
20,300,81,0,15,0
1,160,40,0,40,50
2,160,0,0,40,10
3,200,32,0,40,20
4,218,40,0,50,45
5,188,40,0,10,50
6,168,104,0,20,50
7,109,91,0,45,60
8,68,55,0,50,80
9,38,93,55,25,50
10,24,89,120,24,50
11,60,88,148,60,70
12,59,55,144,59,50
13,17,29,156,17,40
14,79,64,141,79,30
15,98,62,105,98,25
16,80,19,44,80,20
17,38,81,87,38,60
18,25,82,144,25,80
19,20,81,205,20,100
20,60,57,202,60,50
1,160,40,0,40,45
2,160,0,0,40,20
3,200,32,0,40,0
4,213,40,0,45,15
5,193,40,0,20,23
6,153,104,0,0,80
7,64,91,27,15,120
8,23,55,59,23,70
9,80,93,72,80,120
10,17,89,144,17,90
11,0,39,183,0,40
12,90,87,180,90,100
13,70,22,132,70,100
14,7,4,129,7,40
15,258,83,0,258,50
16,261,82,0,215,40
17,281,9,0,102,20
18,362,82,0,90,10
19,320,81,0,40,10
20,268,81,0,29,40
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,72
4,168,40,0,0,40
5,128,40,0,0,40
6,160,104,0,72,104
7,96,91,0,40,50
8,45,55,10,40,30
9,48,93,55,48,45
10,14,89,130,14,100
11,44,88,174,44,44
12,102,55,127,102,102
13,0,19,146,0,19
14,113,48,81,113,75
15,45,83,119,45,45
16,79,24,64,79,119
17,47,82,99,47,64
18,122,80,57,122,122
19,53,80,84,53,137
20,79,48,53,79,132
1,160,40,0,40,40
2,160,0,0,40,0
3,200,32,0,40,0
4,208,40,0,40,0
5,168,40,0,0,0
6,128,104,0,0,150
7,24,91,67,0,40
8,0,55,122,0,30
9,150,93,65,150,100
10,10,57,112,10,100
11,0,8,120,0,100
12,116,87,91,116,300
13,39,85,137,39,50
14,23,4,118,23,0
15,75,83,126,75,300
16,17,77,186,17,200
17,201,25,10,201,100
18,176,77,0,176,200
19,281,18,0,192,0
20,476,81,0,213,0
1,160,40,0,40,40
2,160,0,0,40,0
3,200,32,0,40,0
4,208,40,0,40,0
5,168,40,0,0,40
6,128,104,0,0,64
7,24,91,67,0,0
8,40,55,82,40,0
9,64,93,111,64,40
10,0,57,168,0,100
11,0,48,216,0,100
12,40,71,247,40,0
13,54,5,198,54,0
14,0,4,202,0,0
15,19,43,226,19,0
16,103,56,179,103,0
17,0,2,181,0,200
18,24,21,178,24,0
19,0,81,259,0,100
20,155,24,128,155,50
1,160,40,0,40,40
2,160,0,0,40,0
3,200,32,0,40,32
4,208,40,0,40,30
5,168,40,0,0,40
6,160,104,0,32,50
7,86,91,5,30,100
8,40,55,20,40,60
9,50,93,63,50,200
10,8,89,144,8,40
11,37,78,185,37,100
12,62,57,180,62,80
13,61,13,132,61,50
14,17,41,156,17,50
15,207,65,14,207,50
16,78,63,0,78,70
17,230,19,0,229,20
18,261,82,0,50,30
19,249,81,0,70,30
20,188,81,0,20,50
1,160,40,0,40,50
2,160,0,0,40,0
3,200,32,0,40,0
4,218,40,0,50,0
5,178,40,0,0,0
6,138,104,0,0,150
7,34,91,57,0,50
8,0,55,112,0,20
9,150,93,55,150,30
10,0,67,122,0,85
11,0,8,130,0,40
12,100,87,117,100,0
13,60,75,132,60,80
14,29,4,107,29,30
15,24,83,166,24,0
16,83,82,165,83,75
17,7,31,189,7,50
18,32,26,183,32,50
19,75,81,189,75,75
20,50,11,150,50,75
1,160,40,0,40,80
2,160,0,0,40,0
3,200,32,0,40,0
4,248,40,0,80,100
5,208,40,0,0,40
6,168,104,0,0,50
7,164,91,0,100,100
8,103,55,0,30,80
9,48,93,45,0,150
10,98,89,36,98,80
11,38,88,86,38,50
12,55,65,96,55,70
13,45,85,136,45,100
14,69,60,127,69,120
15,193,58,0,193,90
16,172,47,0,164,110
17,248,71,0,123,75
18,259,82,0,82,110
19,301,81,0,124,50
20,335,81,0,115,85
1,160,40,0,40,40
2,160,0,0,40,0
3,200,32,0,40,32
4,208,40,0,40,40
5,168,40,0,0,40
6,160,104,0,32,104
7,96,91,0,40,190
8,45,55,10,40,100
9,48,93,55,48,50
10,7,89,137,7,150
11,45,88,180,45,150
12,108,55,127,108,55
13,0,12,139,0,127
14,174,49,14,174,55
15,287,83,0,287,43
16,396,30,0,206,0
17,427,82,0,61,0
18,444,82,0,99,0
19,362,81,0,0,0
20,281,81,0,0,0
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,0
4,168,40,0,0,0
5,128,40,0,0,0
6,88,104,16,0,125
7,0,91,107,0,170
8,0,55,162,0,70
9,125,93,130,125,70
10,75,17,72,75,70
11,0,8,80,0,50
12,28,87,139,28,120
13,132,85,92,132,150
14,0,44,136,0,150
15,270,31,0,270,0
16,217,82,0,114,0
17,176,54,0,41,0
18,276,82,0,154,0
19,252,81,0,58,0
20,231,81,0,60,0
